File created on 2016-01-15T21:28:34.926887

#COORDINATES
GSM

 year mo dy hr mn sc msc BX BY BZ UX UY UZ RHO T
#START
2003 10 29 00 49 31 000       7.61      -0.44      -5.78    -595.50     -33.26     -35.26       5.56  565703.94
2003 10 29 00 49 47 000       6.67       0.11      -6.63    -595.47     -33.24     -35.20       5.37  567196.31
2003 10 29 00 50 03 000       7.15      -0.13      -6.00    -595.44     -33.22     -35.13       5.18  568688.69
2003 10 29 00 50 19 000       5.80       1.75      -6.40    -595.40     -33.20     -35.05       4.99  570181.12
2003 10 29 00 50 36 000       5.52       0.07      -7.22    -595.37     -33.18     -34.99       4.80  571673.50
2003 10 29 00 50 52 000       7.38       2.07      -4.41    -595.34     -33.16     -34.92       4.81  573165.88
2003 10 29 00 51 08 000       8.06      -2.16      -3.72    -595.31     -33.15     -34.85       4.88  574658.25
2003 10 29 00 51 24 000       7.88       1.00      -4.89    -595.28     -33.13     -34.77       4.94  576150.62
2003 10 29 00 51 40 000       8.16      -0.19      -4.35    -595.25     -33.11     -34.70       5.00  577643.00
2003 10 29 00 51 56 000       7.93       0.33      -4.98    -595.22     -33.09     -34.64       5.07  579135.38
2003 10 29 00 52 12 000       8.07      -2.46      -4.42    -595.22     -33.08     -34.64       5.13  578569.00
2003 10 29 00 52 28 000       7.87      -2.89      -4.57    -595.22     -33.08     -34.65       5.19  578002.62
2003 10 29 00 52 44 000       7.58      -4.12      -3.63    -595.22     -33.07     -34.65       5.26  577436.19
2003 10 29 00 53 00 000       7.92      -3.61      -3.59    -595.22     -33.07     -34.65       5.32  576869.81
2003 10 29 00 53 16 000       5.32      -1.93      -6.36    -595.22     -33.07     -34.66       5.38  576303.31
2003 10 29 00 53 32 000       5.09      -2.41      -7.09    -595.22     -33.06     -34.66       5.45  575736.88
2003 10 29 00 53 48 000       5.95      -3.64      -5.20    -595.22     -33.06     -34.67       5.51  575170.50
2003 10 29 00 54 04 000       5.15      -5.78      -4.53    -595.22     -33.05     -34.67       5.57  574604.12
2003 10 29 00 54 20 000       6.54      -4.64      -4.59    -595.22     -33.05     -34.68       5.63  574037.69
2003 10 29 00 54 36 000       5.95      -4.31      -5.88    -595.22     -33.04     -34.68       5.70  573471.19
2003 10 29 00 54 52 000       5.97      -4.51      -5.58    -595.22     -33.04     -34.68       5.76  572904.81
2003 10 29 00 55 08 000       6.95      -4.73      -3.98    -595.22     -33.04     -34.69       5.82  572338.38
2003 10 29 00 55 24 000       6.90      -3.87      -5.16    -595.22     -33.03     -34.69       5.89  571772.00
2003 10 29 00 55 40 000       6.92      -3.17      -5.15    -595.22     -33.03     -34.70       5.95  571205.62
2003 10 29 00 55 56 000       6.30      -3.16      -5.75    -595.22     -33.02     -34.70       6.01  570639.19
2003 10 29 00 56 12 000       6.05      -3.84      -5.75    -595.22     -33.02     -34.71       6.08  570072.81
2003 10 29 00 56 28 000       5.69      -4.10      -6.04    -595.22     -33.01     -34.71       6.14  569506.38
2003 10 29 00 56 44 000       5.36      -5.20      -5.05    -595.22     -33.01     -34.71       6.20  568939.88
2003 10 29 00 57 00 000       5.84      -2.07      -6.06    -595.22     -33.00     -34.72       6.26  568373.50
2003 10 29 00 57 16 000       5.86       3.78      -5.02    -595.22     -33.00     -34.72       6.33  567807.12
2003 10 29 00 57 32 000       4.38       6.02      -4.81    -595.22     -32.99     -34.73       6.39  567240.69
2003 10 29 00 57 48 000       1.17       8.43      -3.11    -595.22     -32.99     -34.73       6.45  566674.31
2003 10 29 00 58 04 000       2.98       7.44      -4.30    -595.22     -32.99     -34.73       6.44  566107.88
2003 10 29 00 58 20 000       3.82       7.60      -3.63    -595.22     -32.98     -34.74       6.41  565541.38
