Sym-H and AL  obtained from Kyoto WDC for SWPC Event 1.  Units in nT.
year mo dy hr mn sc msc dst_sm AL
2003 10 29 09 23 00 000 -177.00 -1422.00
2003 10 29 09 24 00 000 -174.00 -1686.00
2003 10 29 09 25 00 000 -172.00 -1643.00
2003 10 29 09 26 00 000 -173.00 -1335.00
2003 10 29 09 27 00 000 -173.00 -1184.00
2003 10 29 09 28 00 000 -175.00 -1188.00
2003 10 29 09 29 00 000 -173.00 -1075.00
2003 10 29 09 30 00 000 -170.00 -1010.00
2003 10 29 09 31 00 000 -176.00  -968.00
2003 10 29 09 32 00 000 -176.00  -883.00
2003 10 29 09 33 00 000 -175.00  -756.00
2003 10 29 09 34 00 000 -175.00  -790.00
2003 10 29 09 35 00 000 -173.00  -924.00
2003 10 29 09 36 00 000 -182.00 -1057.00
2003 10 29 09 37 00 000 -183.00 -1170.00
2003 10 29 09 38 00 000 -177.00 -1083.00
2003 10 29 09 39 00 000 -177.00 -1039.00
2003 10 29 09 40 00 000 -182.00  -955.00
2003 10 29 09 41 00 000 -187.00  -765.00
2003 10 29 09 42 00 000 -191.00  -654.00
2003 10 29 09 43 00 000 -193.00  -587.00
2003 10 29 09 44 00 000 -196.00  -600.00
2003 10 29 09 45 00 000 -194.00  -606.00
2003 10 29 09 46 00 000 -190.00  -503.00
2003 10 29 09 47 00 000 -190.00  -534.00
2003 10 29 09 48 00 000 -193.00  -511.00
2003 10 29 09 49 00 000 -192.00  -474.00
2003 10 29 09 50 00 000 -190.00  -482.00
2003 10 29 09 51 00 000 -185.00  -476.00
2003 10 29 09 52 00 000 -184.00  -490.00
2003 10 29 09 53 00 000 -176.00  -448.00
2003 10 29 09 54 00 000 -161.00  -492.00
2003 10 29 09 55 00 000 -151.00  -637.00
2003 10 29 09 56 00 000 -161.00  -718.00
2003 10 29 09 57 00 000 -172.00  -684.00
2003 10 29 09 58 00 000 -169.00  -647.00
2003 10 29 09 59 00 000 -164.00  -728.00
2003 10 29 10 00 00 000 -164.00  -803.00
2003 10 29 10 01 00 000 -164.00  -851.00
2003 10 29 10 02 00 000 -164.00  -933.00
2003 10 29 10 03 00 000 -165.00  -987.00
2003 10 29 10 04 00 000 -163.00  -920.00
2003 10 29 10 05 00 000 -165.00  -733.00
2003 10 29 10 06 00 000 -165.00  -566.00
2003 10 29 10 07 00 000 -163.00  -443.00
2003 10 29 10 08 00 000 -165.00  -482.00
2003 10 29 10 09 00 000 -167.00  -513.00
2003 10 29 10 10 00 000 -166.00  -512.00
2003 10 29 10 11 00 000 -163.00  -507.00
2003 10 29 10 12 00 000 -163.00  -487.00
2003 10 29 10 13 00 000 -163.00  -477.00
2003 10 29 10 14 00 000 -163.00  -420.00
2003 10 29 10 15 00 000 -151.00  -375.00
2003 10 29 10 16 00 000 -150.00  -434.00
2003 10 29 10 17 00 000 -160.00  -458.00
2003 10 29 10 18 00 000 -164.00  -379.00
2003 10 29 10 19 00 000 -162.00  -362.00
2003 10 29 10 20 00 000 -155.00  -557.00
2003 10 29 10 21 00 000 -152.00  -845.00
2003 10 29 10 22 00 000 -149.00  -871.00
2003 10 29 10 23 00 000 -142.00  -959.00
2003 10 29 10 24 00 000 -154.00 -1104.00
2003 10 29 10 25 00 000 -173.00  -964.00
2003 10 29 10 26 00 000 -201.00  -740.00
2003 10 29 10 27 00 000 -199.00  -552.00
2003 10 29 10 28 00 000 -192.00  -764.00
2003 10 29 10 29 00 000 -190.00  -783.00
2003 10 29 10 30 00 000 -193.00  -868.00
2003 10 29 10 31 00 000 -195.00  -964.00
2003 10 29 10 32 00 000 -194.00 -1035.00
2003 10 29 10 33 00 000 -196.00 -1138.00
2003 10 29 10 34 00 000 -195.00 -1115.00
2003 10 29 10 35 00 000 -193.00  -964.00
2003 10 29 10 36 00 000 -191.00  -761.00
2003 10 29 10 37 00 000 -191.00  -629.00
2003 10 29 10 38 00 000 -187.00  -643.00
2003 10 29 10 39 00 000 -191.00  -661.00
2003 10 29 10 40 00 000 -189.00  -640.00
2003 10 29 10 41 00 000 -184.00  -611.00
2003 10 29 10 42 00 000 -178.00  -559.00
2003 10 29 10 43 00 000 -181.00  -570.00
2003 10 29 10 44 00 000 -174.00  -504.00
2003 10 29 10 45 00 000 -175.00  -484.00
2003 10 29 10 46 00 000 -172.00  -473.00
2003 10 29 10 47 00 000 -176.00  -611.00
2003 10 29 10 48 00 000 -171.00  -608.00
2003 10 29 10 49 00 000 -163.00  -514.00
2003 10 29 10 50 00 000 -173.00  -592.00
2003 10 29 10 51 00 000 -176.00  -705.00
2003 10 29 10 52 00 000 -174.00  -670.00
2003 10 29 10 53 00 000 -176.00  -540.00
2003 10 29 10 54 00 000 -175.00  -565.00
2003 10 29 10 55 00 000 -170.00  -429.00
2003 10 29 10 56 00 000 -169.00  -405.00
2003 10 29 10 57 00 000 -165.00  -487.00
2003 10 29 10 58 00 000 -162.00  -521.00
2003 10 29 10 59 00 000 -164.00  -617.00
2003 10 29 11 00 00 000 -158.00  -694.00
2003 10 29 11 01 00 000 -162.00  -755.00
2003 10 29 11 02 00 000 -153.00  -672.00
2003 10 29 11 03 00 000 -160.00  -597.00
2003 10 29 11 04 00 000 -157.00  -579.00
2003 10 29 11 05 00 000 -154.00  -618.00
2003 10 29 11 06 00 000 -167.00  -614.00
2003 10 29 11 07 00 000 -159.00  -494.00
2003 10 29 11 08 00 000 -159.00  -480.00
2003 10 29 11 09 00 000 -158.00  -441.00
2003 10 29 11 10 00 000 -162.00  -445.00
2003 10 29 11 11 00 000 -157.00  -480.00
2003 10 29 11 12 00 000 -156.00  -604.00
2003 10 29 11 13 00 000 -159.00  -604.00
2003 10 29 11 14 00 000 -157.00  -500.00
2003 10 29 11 15 00 000 -154.00  -539.00
2003 10 29 11 16 00 000 -156.00  -562.00
2003 10 29 11 17 00 000 -157.00  -545.00
2003 10 29 11 18 00 000 -156.00  -560.00
2003 10 29 11 19 00 000 -162.00  -556.00
2003 10 29 11 20 00 000 -159.00  -521.00
2003 10 29 11 21 00 000 -164.00  -437.00
2003 10 29 11 22 00 000 -167.00  -480.00
2003 10 29 11 23 00 000 -163.00  -517.00
2003 10 29 11 24 00 000 -167.00  -527.00
2003 10 29 11 25 00 000 -179.00  -694.00
2003 10 29 11 26 00 000 -169.00  -691.00
2003 10 29 11 27 00 000 -169.00  -651.00
2003 10 29 11 28 00 000 -182.00  -517.00
2003 10 29 11 29 00 000 -207.00  -623.00
2003 10 29 11 30 00 000 -196.00  -692.00
2003 10 29 11 31 00 000 -181.00  -595.00
2003 10 29 11 32 00 000 -186.00  -550.00
2003 10 29 11 33 00 000 -190.00  -502.00
2003 10 29 11 34 00 000 -190.00  -442.00
2003 10 29 11 35 00 000 -184.00  -446.00
2003 10 29 11 36 00 000 -183.00  -479.00
2003 10 29 11 37 00 000 -181.00  -515.00
2003 10 29 11 38 00 000 -176.00  -868.00
2003 10 29 11 39 00 000 -175.00 -1548.00
2003 10 29 11 40 00 000 -175.00 -1668.00
2003 10 29 11 41 00 000 -179.00 -1722.00
2003 10 29 11 42 00 000 -178.00 -1535.00
2003 10 29 11 43 00 000 -174.00 -1525.00
2003 10 29 11 44 00 000 -173.00 -1537.00
2003 10 29 11 45 00 000 -173.00 -1206.00
2003 10 29 11 46 00 000 -176.00 -1178.00
2003 10 29 11 47 00 000 -174.00 -1198.00
2003 10 29 11 48 00 000 -173.00 -1027.00
2003 10 29 11 49 00 000 -171.00 -1133.00
2003 10 29 11 50 00 000 -169.00 -1326.00
2003 10 29 11 51 00 000 -166.00 -1462.00
2003 10 29 11 52 00 000 -160.00 -1366.00
2003 10 29 11 53 00 000 -158.00 -1383.00
2003 10 29 11 54 00 000 -159.00 -1239.00
2003 10 29 11 55 00 000 -160.00 -1015.00
2003 10 29 11 56 00 000 -160.00  -874.00
2003 10 29 11 57 00 000 -160.00  -915.00
2003 10 29 11 58 00 000 -156.00  -888.00
2003 10 29 11 59 00 000 -146.00 -1066.00
2003 10 29 12 00 00 000 -139.00  -879.00
2003 10 29 12 01 00 000 -140.00  -973.00
2003 10 29 12 02 00 000 -145.00 -1204.00
2003 10 29 12 03 00 000 -137.00 -1165.00
2003 10 29 12 04 00 000 -132.00 -1097.00
2003 10 29 12 05 00 000 -138.00 -1044.00
2003 10 29 12 06 00 000 -134.00  -970.00
2003 10 29 12 07 00 000 -122.00  -835.00
2003 10 29 12 08 00 000 -138.00  -905.00
2003 10 29 12 09 00 000 -140.00  -925.00
2003 10 29 12 10 00 000 -130.00  -805.00
2003 10 29 12 11 00 000 -130.00  -730.00
2003 10 29 12 12 00 000 -129.00  -651.00
2003 10 29 12 13 00 000 -131.00  -647.00
2003 10 29 12 14 00 000 -128.00  -638.00
2003 10 29 12 15 00 000 -127.00  -655.00
2003 10 29 12 16 00 000 -127.00  -642.00
2003 10 29 12 17 00 000 -120.00  -583.00
2003 10 29 12 18 00 000 -124.00  -580.00
2003 10 29 12 19 00 000 -130.00  -595.00
2003 10 29 12 20 00 000 -127.00  -644.00
2003 10 29 12 21 00 000 -122.00  -615.00
2003 10 29 12 22 00 000 -122.00  -590.00
2003 10 29 12 23 00 000 -118.00  -512.00
2003 10 29 12 24 00 000 -122.00  -544.00
2003 10 29 12 25 00 000 -119.00  -568.00
2003 10 29 12 26 00 000 -116.00  -553.00
2003 10 29 12 27 00 000 -124.00  -666.00
2003 10 29 12 28 00 000 -126.00  -712.00
2003 10 29 12 29 00 000 -111.00  -660.00
2003 10 29 12 30 00 000 -115.00  -657.00
2003 10 29 12 31 00 000 -125.00  -690.00
2003 10 29 12 32 00 000 -118.00  -680.00
2003 10 29 12 33 00 000 -116.00  -635.00
2003 10 29 12 34 00 000 -119.00  -631.00
2003 10 29 12 35 00 000 -117.00  -583.00
2003 10 29 12 36 00 000 -117.00  -526.00
2003 10 29 12 37 00 000 -117.00  -437.00
2003 10 29 12 38 00 000 -115.00  -457.00
2003 10 29 12 39 00 000 -115.00  -509.00
2003 10 29 12 40 00 000 -114.00  -542.00
2003 10 29 12 41 00 000 -113.00  -477.00
2003 10 29 12 42 00 000 -114.00  -429.00
2003 10 29 12 43 00 000 -120.00  -476.00
2003 10 29 12 44 00 000 -121.00  -535.00
2003 10 29 12 45 00 000 -115.00  -471.00
2003 10 29 12 46 00 000 -121.00  -419.00
2003 10 29 12 47 00 000 -125.00  -437.00
2003 10 29 12 48 00 000 -119.00  -464.00
2003 10 29 12 49 00 000 -115.00  -470.00
2003 10 29 12 50 00 000 -113.00  -486.00
2003 10 29 12 51 00 000  -96.00  -450.00
2003 10 29 12 52 00 000 -103.00  -464.00
2003 10 29 12 53 00 000 -104.00  -526.00
2003 10 29 12 54 00 000  -97.00  -559.00
2003 10 29 12 55 00 000 -100.00  -519.00
2003 10 29 12 56 00 000  -95.00  -557.00
2003 10 29 12 57 00 000  -96.00  -610.00
2003 10 29 12 58 00 000  -94.00  -580.00
2003 10 29 12 59 00 000  -87.00  -616.00
2003 10 29 13 00 00 000  -91.00  -575.00
2003 10 29 13 01 00 000  -92.00  -494.00
2003 10 29 13 02 00 000  -93.00  -486.00
2003 10 29 13 03 00 000  -95.00  -549.00
2003 10 29 13 04 00 000  -94.00  -613.00
2003 10 29 13 05 00 000  -98.00  -597.00
2003 10 29 13 06 00 000  -97.00  -588.00
2003 10 29 13 07 00 000  -91.00  -497.00
2003 10 29 13 08 00 000  -94.00  -501.00
2003 10 29 13 09 00 000 -101.00  -522.00
2003 10 29 13 10 00 000  -87.00  -456.00
2003 10 29 13 11 00 000  -85.00  -379.00
2003 10 29 13 12 00 000  -76.00  -390.00
2003 10 29 13 13 00 000  -86.00  -537.00
2003 10 29 13 14 00 000  -81.00  -529.00
2003 10 29 13 15 00 000  -67.00  -480.00
2003 10 29 13 16 00 000  -77.00  -521.00
2003 10 29 13 17 00 000  -81.00  -622.00
2003 10 29 13 18 00 000  -73.00  -617.00
2003 10 29 13 19 00 000  -64.00  -643.00
2003 10 29 13 20 00 000  -67.00  -682.00
2003 10 29 13 21 00 000  -70.00  -691.00
2003 10 29 13 22 00 000  -68.00  -458.00
2003 10 29 13 23 00 000  -72.00  -583.00
2003 10 29 13 24 00 000  -84.00  -625.00
2003 10 29 13 25 00 000  -81.00  -519.00
2003 10 29 13 26 00 000  -91.00  -629.00
2003 10 29 13 27 00 000  -88.00  -701.00
2003 10 29 13 28 00 000  -87.00  -546.00
2003 10 29 13 29 00 000  -86.00  -415.00
2003 10 29 13 30 00 000  -88.00  -312.00
2003 10 29 13 31 00 000  -82.00  -327.00
2003 10 29 13 32 00 000  -83.00  -358.00
2003 10 29 13 33 00 000  -85.00  -356.00
2003 10 29 13 34 00 000  -86.00  -441.00
2003 10 29 13 35 00 000  -93.00  -623.00
2003 10 29 13 36 00 000  -90.00  -441.00
2003 10 29 13 37 00 000  -89.00  -317.00
2003 10 29 13 38 00 000  -89.00  -315.00
2003 10 29 13 39 00 000  -86.00  -415.00
2003 10 29 13 40 00 000  -88.00  -413.00
2003 10 29 13 41 00 000  -86.00  -444.00
2003 10 29 13 42 00 000  -85.00  -409.00
2003 10 29 13 43 00 000  -90.00  -462.00
2003 10 29 13 44 00 000  -87.00  -401.00
2003 10 29 13 45 00 000  -81.00  -357.00
2003 10 29 13 46 00 000  -86.00  -669.00
2003 10 29 13 47 00 000  -75.00  -468.00
2003 10 29 13 48 00 000  -82.00  -493.00
2003 10 29 13 49 00 000  -78.00  -388.00
2003 10 29 13 50 00 000  -79.00  -450.00
2003 10 29 13 51 00 000  -77.00  -530.00
2003 10 29 13 52 00 000  -86.00  -467.00
2003 10 29 13 53 00 000  -83.00  -540.00
2003 10 29 13 54 00 000  -85.00  -406.00
2003 10 29 13 55 00 000  -81.00  -340.00
2003 10 29 13 56 00 000  -81.00  -393.00
2003 10 29 13 57 00 000  -86.00  -535.00
2003 10 29 13 58 00 000  -98.00  -708.00
2003 10 29 13 59 00 000 -106.00  -698.00
2003 10 29 14 00 00 000 -109.00  -658.00
2003 10 29 14 01 00 000 -116.00  -628.00
2003 10 29 14 02 00 000 -120.00  -706.00
2003 10 29 14 03 00 000 -127.00  -642.00
2003 10 29 14 04 00 000 -128.00  -654.00
2003 10 29 14 05 00 000 -124.00  -564.00
2003 10 29 14 06 00 000 -124.00  -601.00
2003 10 29 14 07 00 000 -126.00  -544.00
2003 10 29 14 08 00 000 -125.00  -483.00
2003 10 29 14 09 00 000 -121.00  -455.00
2003 10 29 14 10 00 000 -120.00  -430.00
2003 10 29 14 11 00 000 -118.00  -499.00
2003 10 29 14 12 00 000 -116.00  -444.00
2003 10 29 14 13 00 000 -113.00  -460.00
2003 10 29 14 14 00 000 -113.00  -446.00
2003 10 29 14 15 00 000 -109.00  -461.00
2003 10 29 14 16 00 000 -104.00  -373.00
2003 10 29 14 17 00 000 -102.00  -385.00
2003 10 29 14 18 00 000  -93.00  -386.00
2003 10 29 14 19 00 000  -85.00  -284.00
2003 10 29 14 20 00 000  -82.00  -305.00
2003 10 29 14 21 00 000  -86.00  -417.00
2003 10 29 14 22 00 000  -95.00  -565.00
2003 10 29 14 23 00 000  -91.00  -650.00
2003 10 29 14 24 00 000  -99.00  -778.00
2003 10 29 14 25 00 000 -134.00  -860.00
2003 10 29 14 26 00 000 -143.00  -972.00
2003 10 29 14 27 00 000 -133.00  -839.00
2003 10 29 14 28 00 000 -121.00  -647.00
2003 10 29 14 29 00 000 -126.00  -455.00
2003 10 29 14 30 00 000 -127.00  -353.00
2003 10 29 14 31 00 000 -124.00  -369.00
2003 10 29 14 32 00 000 -121.00  -432.00
2003 10 29 14 33 00 000 -120.00  -532.00
2003 10 29 14 34 00 000 -109.00  -604.00
2003 10 29 14 35 00 000 -103.00  -666.00
2003 10 29 14 36 00 000 -103.00  -719.00
2003 10 29 14 37 00 000 -101.00  -777.00
2003 10 29 14 38 00 000  -99.00  -793.00
2003 10 29 14 39 00 000  -96.00  -765.00
2003 10 29 14 40 00 000  -96.00  -708.00
2003 10 29 14 41 00 000 -101.00  -667.00
2003 10 29 14 42 00 000  -99.00  -635.00
2003 10 29 14 43 00 000  -91.00  -651.00
2003 10 29 14 44 00 000  -91.00  -684.00
2003 10 29 14 45 00 000  -86.00  -654.00
2003 10 29 14 46 00 000  -76.00  -601.00
2003 10 29 14 47 00 000  -66.00  -507.00
2003 10 29 14 48 00 000  -81.00  -473.00
2003 10 29 14 49 00 000  -92.00  -541.00
2003 10 29 14 50 00 000  -81.00  -643.00
2003 10 29 14 51 00 000  -82.00  -593.00
2003 10 29 14 52 00 000  -94.00  -700.00
2003 10 29 14 53 00 000  -85.00  -711.00
2003 10 29 14 54 00 000  -72.00  -579.00
2003 10 29 14 55 00 000  -81.00  -479.00
2003 10 29 14 56 00 000 -114.00  -577.00
2003 10 29 14 57 00 000  -89.00  -606.00
2003 10 29 14 58 00 000  -85.00  -492.00
2003 10 29 14 59 00 000 -101.00  -591.00
2003 10 29 15 00 00 000  -96.00  -681.00
2003 10 29 15 01 00 000  -83.00  -715.00
2003 10 29 15 02 00 000  -76.00 -1038.00
2003 10 29 15 03 00 000  -91.00 -1281.00
2003 10 29 15 04 00 000  -90.00 -1261.00
2003 10 29 15 05 00 000  -86.00 -1017.00
2003 10 29 15 06 00 000  -95.00  -780.00
2003 10 29 15 07 00 000 -103.00  -791.00
2003 10 29 15 08 00 000 -104.00 -1024.00
2003 10 29 15 09 00 000 -101.00  -967.00
2003 10 29 15 10 00 000 -102.00 -1179.00
2003 10 29 15 11 00 000 -101.00 -1247.00
2003 10 29 15 12 00 000 -105.00  -945.00
2003 10 29 15 13 00 000  -98.00  -923.00
2003 10 29 15 14 00 000  -98.00  -905.00
2003 10 29 15 15 00 000 -105.00  -814.00
2003 10 29 15 16 00 000 -113.00  -969.00
2003 10 29 15 17 00 000 -114.00 -1079.00
2003 10 29 15 18 00 000 -112.00 -1200.00
2003 10 29 15 19 00 000 -109.00 -1083.00
2003 10 29 15 20 00 000 -105.00 -1250.00
2003 10 29 15 21 00 000 -108.00 -1120.00
2003 10 29 15 22 00 000 -117.00 -1182.00
2003 10 29 15 23 00 000 -127.00 -1246.00
2003 10 29 15 24 00 000 -122.00 -1183.00
2003 10 29 15 25 00 000 -110.00  -974.00
2003 10 29 15 26 00 000 -110.00  -888.00
2003 10 29 15 27 00 000 -114.00 -1278.00
2003 10 29 15 28 00 000 -122.00 -1414.00
2003 10 29 15 29 00 000 -120.00 -1344.00
2003 10 29 15 30 00 000 -112.00 -1208.00
2003 10 29 15 31 00 000 -108.00 -1224.00
2003 10 29 15 32 00 000 -122.00 -1325.00
2003 10 29 15 33 00 000 -128.00 -1339.00
2003 10 29 15 34 00 000 -124.00  -979.00
2003 10 29 15 35 00 000 -131.00 -1074.00
2003 10 29 15 36 00 000 -126.00 -1173.00
2003 10 29 15 37 00 000 -123.00 -1393.00
2003 10 29 15 38 00 000 -119.00 -1464.00
2003 10 29 15 39 00 000 -124.00 -1310.00
2003 10 29 15 40 00 000 -130.00 -1354.00
2003 10 29 15 41 00 000 -123.00 -1352.00
2003 10 29 15 42 00 000 -108.00 -1357.00
2003 10 29 15 43 00 000 -109.00 -1340.00
2003 10 29 15 44 00 000 -120.00 -1531.00
2003 10 29 15 45 00 000 -117.00 -1911.00
2003 10 29 15 46 00 000 -110.00 -1619.00
2003 10 29 15 47 00 000 -107.00 -1609.00
2003 10 29 15 48 00 000 -115.00 -1651.00
2003 10 29 15 49 00 000 -115.00 -1631.00
2003 10 29 15 50 00 000 -113.00 -1555.00
2003 10 29 15 51 00 000 -116.00 -1713.00
2003 10 29 15 52 00 000 -115.00 -1765.00
2003 10 29 15 53 00 000 -114.00 -1651.00
2003 10 29 15 54 00 000 -116.00 -1783.00
2003 10 29 15 55 00 000 -115.00 -1814.00
2003 10 29 15 56 00 000 -117.00 -1719.00
2003 10 29 15 57 00 000 -125.00 -1842.00
2003 10 29 15 58 00 000 -130.00 -1749.00
2003 10 29 15 59 00 000 -128.00 -1685.00
2003 10 29 16 00 00 000 -122.00 -1483.00
2003 10 29 16 01 00 000 -127.00 -1448.00
2003 10 29 16 02 00 000 -127.00 -1492.00
2003 10 29 16 03 00 000 -121.00 -1244.00
2003 10 29 16 04 00 000 -117.00 -1169.00
2003 10 29 16 05 00 000 -115.00 -1160.00
2003 10 29 16 06 00 000 -114.00 -1115.00
2003 10 29 16 07 00 000 -115.00 -1103.00
2003 10 29 16 08 00 000 -114.00 -1208.00
2003 10 29 16 09 00 000 -113.00 -1431.00
2003 10 29 16 10 00 000 -113.00 -1451.00
2003 10 29 16 11 00 000 -113.00 -1378.00
2003 10 29 16 12 00 000 -113.00 -1388.00
2003 10 29 16 13 00 000 -112.00 -1508.00
2003 10 29 16 14 00 000 -118.00 -1594.00
2003 10 29 16 15 00 000 -120.00 -1540.00
2003 10 29 16 16 00 000 -119.00 -1205.00
2003 10 29 16 17 00 000 -116.00 -1017.00
2003 10 29 16 18 00 000 -116.00  -972.00
2003 10 29 16 19 00 000 -112.00  -898.00
2003 10 29 16 20 00 000 -104.00  -904.00
2003 10 29 16 21 00 000 -100.00 -1007.00
2003 10 29 16 22 00 000 -104.00  -978.00
2003 10 29 16 23 00 000 -105.00  -882.00
2003 10 29 16 24 00 000 -108.00  -932.00
2003 10 29 16 25 00 000 -120.00 -1041.00
2003 10 29 16 26 00 000 -121.00 -1129.00
2003 10 29 16 27 00 000 -113.00 -1285.00
2003 10 29 16 28 00 000 -108.00 -1391.00
2003 10 29 16 29 00 000 -110.00 -1488.00
2003 10 29 16 30 00 000  -91.00 -1257.00
2003 10 29 16 31 00 000 -117.00 -1209.00
2003 10 29 16 32 00 000 -124.00 -1157.00
2003 10 29 16 33 00 000 -135.00  -977.00
2003 10 29 16 34 00 000 -129.00  -920.00
2003 10 29 16 35 00 000 -132.00  -822.00
2003 10 29 16 36 00 000 -133.00  -843.00
2003 10 29 16 37 00 000 -128.00  -827.00
2003 10 29 16 38 00 000 -127.00  -737.00
2003 10 29 16 39 00 000 -131.00  -687.00
2003 10 29 16 40 00 000 -132.00  -690.00
2003 10 29 16 41 00 000 -129.00  -794.00
2003 10 29 16 42 00 000 -125.00  -996.00
2003 10 29 16 43 00 000 -132.00  -983.00
2003 10 29 16 44 00 000 -136.00 -1018.00
2003 10 29 16 45 00 000 -133.00 -1048.00
2003 10 29 16 46 00 000 -139.00 -1019.00
2003 10 29 16 47 00 000 -139.00 -1004.00
2003 10 29 16 48 00 000 -136.00 -1007.00
2003 10 29 16 49 00 000 -124.00  -842.00
2003 10 29 16 50 00 000 -120.00  -593.00
2003 10 29 16 51 00 000 -137.00  -804.00
2003 10 29 16 52 00 000 -127.00  -878.00
2003 10 29 16 53 00 000 -119.00  -643.00
2003 10 29 16 54 00 000 -138.00  -941.00
2003 10 29 16 55 00 000 -164.00 -1430.00
2003 10 29 16 56 00 000 -159.00 -1502.00
2003 10 29 16 57 00 000 -156.00 -1387.00
2003 10 29 16 58 00 000 -155.00 -1372.00
2003 10 29 16 59 00 000 -146.00 -1313.00
2003 10 29 17 00 00 000 -148.00 -1380.00
2003 10 29 17 01 00 000 -155.00 -1292.00
2003 10 29 17 02 00 000 -138.00  -997.00
2003 10 29 17 03 00 000 -131.00 -1218.00
2003 10 29 17 04 00 000 -150.00 -1334.00
2003 10 29 17 05 00 000 -142.00 -1332.00
2003 10 29 17 06 00 000 -122.00 -1291.00
2003 10 29 17 07 00 000 -126.00 -1397.00
2003 10 29 17 08 00 000 -136.00 -1444.00
2003 10 29 17 09 00 000 -123.00 -1451.00
2003 10 29 17 10 00 000 -113.00 -1421.00
2003 10 29 17 11 00 000 -138.00 -1510.00
2003 10 29 17 12 00 000 -142.00 -1507.00
2003 10 29 17 13 00 000 -135.00 -1460.00
2003 10 29 17 14 00 000 -139.00 -1440.00
2003 10 29 17 15 00 000 -145.00 -1374.00
2003 10 29 17 16 00 000 -147.00 -1697.00
2003 10 29 17 17 00 000 -141.00 -1477.00
2003 10 29 17 18 00 000 -141.00 -1731.00
2003 10 29 17 19 00 000 -149.00 -1411.00
2003 10 29 17 20 00 000 -153.00 -1184.00
2003 10 29 17 21 00 000 -142.00 -1278.00
2003 10 29 17 22 00 000 -140.00 -1158.00
2003 10 29 17 23 00 000 -140.00  -944.00
2003 10 29 17 24 00 000 -141.00 -1019.00
2003 10 29 17 25 00 000 -140.00 -1010.00
2003 10 29 17 26 00 000 -139.00 -1028.00
2003 10 29 17 27 00 000 -146.00  -974.00
2003 10 29 17 28 00 000 -140.00  -933.00
2003 10 29 17 29 00 000 -140.00  -881.00
2003 10 29 17 30 00 000 -146.00  -922.00
2003 10 29 17 31 00 000 -140.00  -973.00
2003 10 29 17 32 00 000 -127.00  -703.00
2003 10 29 17 33 00 000 -128.00  -703.00
2003 10 29 17 34 00 000 -134.00  -822.00
2003 10 29 17 35 00 000 -127.00  -923.00
2003 10 29 17 36 00 000 -126.00  -917.00
2003 10 29 17 37 00 000 -128.00  -879.00
2003 10 29 17 38 00 000 -136.00  -771.00
2003 10 29 17 39 00 000 -133.00  -730.00
2003 10 29 17 40 00 000 -115.00  -709.00
2003 10 29 17 41 00 000 -104.00  -919.00
2003 10 29 17 42 00 000 -125.00  -893.00
2003 10 29 17 43 00 000 -127.00  -930.00
2003 10 29 17 44 00 000 -121.00  -866.00
2003 10 29 17 45 00 000 -112.00 -1113.00
2003 10 29 17 46 00 000 -118.00 -1124.00
2003 10 29 17 47 00 000 -131.00 -1026.00
2003 10 29 17 48 00 000 -112.00  -797.00
2003 10 29 17 49 00 000 -124.00 -1047.00
2003 10 29 17 50 00 000 -135.00  -907.00
2003 10 29 17 51 00 000 -120.00  -790.00
2003 10 29 17 52 00 000 -120.00  -807.00
2003 10 29 17 53 00 000 -131.00  -936.00
2003 10 29 17 54 00 000 -137.00  -979.00
2003 10 29 17 55 00 000 -140.00 -1097.00
2003 10 29 17 56 00 000 -151.00 -1177.00
2003 10 29 17 57 00 000 -154.00 -1397.00
2003 10 29 17 58 00 000 -146.00 -1388.00
2003 10 29 17 59 00 000 -152.00 -1248.00
2003 10 29 18 00 00 000 -140.00 -1370.00
2003 10 29 18 01 00 000 -157.00 -1524.00
2003 10 29 18 02 00 000 -165.00 -1517.00
2003 10 29 18 03 00 000 -155.00 -1685.00
2003 10 29 18 04 00 000 -163.00 -1955.00
2003 10 29 18 05 00 000 -150.00 -1920.00
2003 10 29 18 06 00 000 -154.00 -2109.00
2003 10 29 18 07 00 000 -186.00 -2275.00
2003 10 29 18 08 00 000 -188.00 -2145.00
2003 10 29 18 09 00 000 -177.00 -1978.00
2003 10 29 18 10 00 000 -190.00 -2106.00
2003 10 29 18 11 00 000 -195.00 -2268.00
2003 10 29 18 12 00 000 -189.00 -2007.00
2003 10 29 18 13 00 000 -191.00 -1642.00
2003 10 29 18 14 00 000 -187.00 -1582.00
2003 10 29 18 15 00 000 -181.00 -1388.00
2003 10 29 18 16 00 000 -176.00 -1185.00
2003 10 29 18 17 00 000 -176.00 -1051.00
2003 10 29 18 18 00 000 -166.00 -1100.00
2003 10 29 18 19 00 000 -199.00 -1168.00
2003 10 29 18 20 00 000 -200.00 -1110.00
2003 10 29 18 21 00 000 -185.00  -888.00
2003 10 29 18 22 00 000 -181.00  -748.00
2003 10 29 18 23 00 000 -185.00  -726.00
2003 10 29 18 24 00 000 -184.00  -576.00
2003 10 29 18 25 00 000 -182.00  -479.00
2003 10 29 18 26 00 000 -183.00  -439.00
2003 10 29 18 27 00 000 -181.00  -462.00
2003 10 29 18 28 00 000 -183.00  -522.00
2003 10 29 18 29 00 000 -182.00  -583.00
2003 10 29 18 30 00 000 -181.00  -647.00
2003 10 29 18 31 00 000 -182.00  -674.00
2003 10 29 18 32 00 000 -185.00  -653.00
